cell_id,ticker,year,column,value_state,source_class,evidence_level,source_artifact,source_field,source_effective_year,source_retrieved_at,transform_id,upstream_cells,resolution_note
MIATK|2021|leverage_ratio,MIATK,2021,leverage_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,leverage_ratio,2021,,T_COPY,,
MIATK|2021|long_term_liabilities,MIATK,2021,long_term_liabilities,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,long_term_liabilities,2021,,T_COPY,,
MIATK|2021|market_cap,MIATK,2021,market_cap,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,market_cap,2021,,T_RATIO,,
MIATK|2021|net_debt,MIATK,2021,net_debt,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,net_debt,2021,,T_COPY,,
MIATK|2021|net_debt_to_ebitda,MIATK,2021,net_debt_to_ebitda,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,net_debt_to_ebitda,2021,,T_COPY,,
MIATK|2021|net_income,MIATK,2021,net_income,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,net_income,2021,,T_COPY,,
MIATK|2021|net_income_growth_pct,MIATK,2021,net_income_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2021|net_margin,MIATK,2021,net_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,net_profit_margin,2021,,T_COPY,,
MIATK|2021|non_current_assets,MIATK,2021,non_current_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,non_current_assets,2021,,T_COPY,,
MIATK|2021|operating_income,MIATK,2021,operating_income,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,operating_income,2021,,T_COPY,,
MIATK|2021|operating_income_growth_pct,MIATK,2021,operating_income_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2021|pb_ratio,MIATK,2021,pb_ratio,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,pb,2021,,T_RATIO,,
MIATK|2021|pe_ratio,MIATK,2021,pe_ratio,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,pe,2021,,T_RATIO,,
MIATK|2021|price_adjclose_t,MIATK,2021,price_adjclose_t,present,yahoo_fetch,cell_verified,data/trusted_raw/prices/yahoo_year_end_prices.csv,year_end_close,2021,,T_COPY,,
MIATK|2021|price_data_available,MIATK,2021,price_data_available,present,derived,derived_chain,,,,,T_PRICE_WINDOW,MIATK|2021|price_adjclose_t,derived_from_dataset_cells
MIATK|2021|price_drawdown_from_3y_high_pct,MIATK,2021,price_drawdown_from_3y_high_pct,present,derived,derived_chain,,,,,T_PRICE_WINDOW,MIATK|2020|price_adjclose_t;MIATK|2021|price_adjclose_t,derived_from_dataset_cells
MIATK|2021|price_history_years_available,MIATK,2021,price_history_years_available,present,derived,derived_chain,,,,,T_PRICE_WINDOW,MIATK|2020|price_adjclose_t;MIATK|2021|price_adjclose_t,derived_from_dataset_cells
MIATK|2021|price_momentum_1y_pct,MIATK,2021,price_momentum_1y_pct,null,derived,derived_chain,,,,,T_NULL_PRESERVED,MIATK|2020|price_adjclose_t;MIATK|2021|price_adjclose_t,null_preserved
MIATK|2021|price_momentum_2y_pct,MIATK,2021,price_momentum_2y_pct,null,derived,derived_chain,,,,,T_NULL_PRESERVED,MIATK|2021|price_adjclose_t,null_preserved
MIATK|2021|price_vs_bist100_1y_pct,MIATK,2021,price_vs_bist100_1y_pct,null,derived,derived_chain,,,,,T_NULL_PRESERVED,MIATK|2020|price_adjclose_t;MIATK|2021|price_adjclose_t;MIATK|2021|benchmark_same_year_return_pct,null_preserved
MIATK|2021|revenue,MIATK,2021,revenue,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,revenue,2021,,T_COPY,,
MIATK|2021|revenue_growth_pct,MIATK,2021,revenue_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2021|roa,MIATK,2021,roa,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,roa,2021,,T_COPY,,
MIATK|2021|roe,MIATK,2021,roe,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,roe,2021,,T_COPY,,
MIATK|2021|short_term_liabilities,MIATK,2021,short_term_liabilities,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,short_term_liabilities,2021,,T_COPY,,
MIATK|2021|total_assets,MIATK,2021,total_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,total_assets,2021,,T_COPY,,
MIATK|2021|working_capital,MIATK,2021,working_capital,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,working_capital,2021,,T_COPY,,
MIATK|2021|next_year_return_pct,MIATK,2021,next_year_return_pct,present,derived,cell_verified,data/trusted_clean/company_year_returns.csv,next_year_return_pct,2021,,T_SHIFT_T1,,
MIATK|2021|next_year_rank_by_return,MIATK,2021,next_year_rank_by_return,present,derived,cell_verified,data/trusted_clean/company_year_returns.csv,next_year_rank_by_return,2021,,T_RANK_WITHIN_YEAR,,
MIATK|2021|next_year_return_percentile,MIATK,2021,next_year_return_percentile,present,derived,cell_verified,data/trusted_clean/company_year_returns.csv,next_year_return_percentile,2021,,T_RANK_WITHIN_YEAR,,
