carrier,model,ic_injected,level_index,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,stage1_operating_point_p_value,detected_stage1_rule,detected_raw_p05,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,invariant_carrier_missingness_mask_preserved,invariant_carrier_observed_value_multiset_preserved_within_year,invariant_carrier_reaches_model_input,invariant_identity_checkpoint_ics_agree,invariant_non_carrier_features_unchanged,invariant_ridge_prediction_ic_equals_final_evaluation_ic,invariant_targets_unchanged
equity,ridge,0.29999999999999999,3,279,42030426,321,4d97cf090215d6e5ac6a4018b3ea12b6dc2aad7ac617268e340ad81382481533,9.9990001000000006e-05,0.00049995000499999996,True,True,,0.43427436389099999,240,0.43427436389099999,240,0.43427436389099999,240,0.30804156453300002,240,0.30804156453300002,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,280,42030427,322,a434c7d8a4c4c83e06ddf7170dbffe5df7cc16bd19b939d34438a0a82be6f0d8,0.0049995000500000003,0.024997500249999999,True,True,,0.32646714431099999,240,0.32646714431099999,240,0.32646714431099999,240,0.18495085342000001,240,0.18495085342000001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,281,42030428,323,343f3cc04f2b7928ad829611e8e451af64112acf6af58b8b53dd5b427db8670c,0.023897610239,0.119488051195,False,True,,0.32604618974799998,240,0.32604618974799998,240,0.32604618974799998,240,0.146358962856,240,0.146358962856,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,282,42030429,324,cd4f82fe01fae55a9f775f4a2eda66583d6018254042f18367ab4bebe5fb7698,0.028597140286000002,0.14298570143,False,True,,0.28983644493799998,240,0.28983644493799998,240,0.28983644493799998,240,0.13984236707200001,240,0.13984236707200001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,283,42030430,325,d97b20463f926e8f9c968b1ed5bc7f49de41a11b7e960b2dc7f218931a693a45,0.011398860114000001,0.056994300570000003,False,True,,0.26781711533000002,240,0.26781711533000002,240,0.26781711533000002,240,0.162330443553,240,0.162330443553,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,284,42030431,326,64a89586c65d0b943759feb84e20ffb6c01d0802dbc85256a15e574b16492bd3,0.056494350564999997,0.28247175282499998,False,False,,0.40274510255500001,240,0.40274510255500001,240,0.40274510255500001,240,0.122972154794,240,0.122972154794,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,285,42030432,327,5a30a2cd4aea3df4dabd2998a2f25f3dce68407533d2b6ae0d1626df864c1fe2,0.0026997300269999999,0.013498650135,True,True,,0.43004035236400001,240,0.43004035236400001,240,0.43004035236400001,240,0.193718079239,240,0.193718079239,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,286,42030433,328,0ae80ac985b6def001dc611774f4ea42363c9d8aa7d639b48eba112963b235b9,0.014898510149,0.074492550744999997,False,True,,0.37740604845699999,240,0.37740604845699999,240,0.37740604845699999,240,0.160181308731,240,0.160181308731,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,287,42030434,329,c0fba76152016527d8cc14145825a629e222cb0dd24e5495edb89262e466bc05,0.049095090490999999,0.24547545245499999,False,True,,0.29750903675500001,240,0.29750903675500001,240,0.29750903675500001,240,0.12825405665699999,240,0.12825405665699999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,288,42030435,330,275e894b8a3b5e8d629ff9c851caca8772c33e2f8f78362dbddb0dd6ea52afd4,0.0013998600139999999,0.0069993000699999997,True,True,,0.36100440098100001,240,0.36100440098100001,240,0.36100440098100001,240,0.21449535235100001,240,0.21449535235100001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,289,42030436,331,0a8b066035eb28500eb66a06493db85bb61f7485e11510731d7f6605bbe10f56,0.0053994600539999998,0.02699730027,True,True,,0.32463938643599999,240,0.32463938643599999,240,0.32463938643599999,240,0.18140372544800001,240,0.18140372544800001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,290,42030437,332,fbc774644d23636088afe55465cf73d4505989c080c560dadd6065b03452c9af,0.0056994300570000003,0.028497150285000002,True,True,,0.30313528671599999,240,0.30313528671599999,240,0.30313528671599999,240,0.17844221276300001,240,0.17844221276300001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,291,42030438,333,40e7a0aa84e34b569f11ece88d3a0decd44738ddb48eb70fb4b3e3751617a4ec,0.011898810119,0.059494050595,False,True,,0.32374854898700001,240,0.32374854898700001,240,0.32374854898700001,240,0.16490086392299999,240,0.16490086392299999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,292,42030439,334,f8b4ab7d6bc3e484c7a4ea8f7489f34aee3d882e27345f24e3e172015697e1eb,0.010398960104,0.051994800520000002,False,True,,0.20364269976999999,240,0.20364269976999999,240,0.20364269976999999,240,0.164260113899,240,0.164260113899,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,293,42030440,335,6cb6cd2327753b86696bd2422d1ee0d0ef39e6a197ae3b1f0d1f4d827e398c5c,0.036596340365999999,0.18298170183000001,False,True,,0.20311847215500001,240,0.20311847215500001,240,0.20311847215500001,240,0.13386422033699999,240,0.13386422033699999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,294,42030441,336,d313448e1410d394e2c5099cf0da9dfbb7985b3c885d794c9a02a8974bb724d8,0.013298670133,0.066493350665000006,False,True,,0.30608220301799999,240,0.30608220301799999,240,0.30608220301799999,240,0.15781452116,240,0.15781452116,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,295,42030442,337,9a2add1b001a27f3457d9c2ade6ff2c5dd90793f1218e8674791e63546e9369e,0.00079992000800000005,0.0039996000399999997,True,True,,0.36970850103500003,240,0.36970850103500003,240,0.36970850103500003,240,0.21578419446,240,0.21578419446,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,296,42030443,338,a8bf8b6d6075d642828c501aa45f67a4cdb84e2666fa6f41a02d00e7ef8565ba,0.012098790121,0.060493950604999999,False,True,,0.287821055554,240,0.287821055554,240,0.287821055554,240,0.16224468128700001,240,0.16224468128700001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,297,42030444,339,ea990e52c7e43ebccc4a903ea5d4d490f1669e85f6de556cb0ddf828533a1341,0.019898010199000001,0.099490050994999996,False,True,,0.25508099791700001,240,0.25508099791700001,240,0.25508099791700001,240,0.15082057971900001,240,0.15082057971900001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,298,42030445,340,7f10f4de26b87caf0f265c10166e4893aa40cb64fd60ebd7040440da4ba3116a,0.017898210179,0.089491050894999993,False,True,,0.32914872472200002,240,0.32914872472200002,240,0.32914872472200002,240,0.15784506699600001,240,0.15784506699600001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,299,42030446,341,292a6032ae6a7d0f945ccbae9444a242e7b13630a297dedb10a812a172f6ab9e,0.032996700330000003,0.16498350165,False,True,,0.27230184639799998,240,0.27230184639799998,240,0.27230184639799998,240,0.13862335352800001,240,0.13862335352800001,240,True,True,True,True,True,True,True
