source_id,source_row_number,ticker_or_share_code,company_name,raw_q4_index_value,normalized_narrowest_index,is_xu030,is_xu050,is_xu100,nested_expansion_applied,identity_status,collision_reconciliation_status,revision_status,provenance_status,notes
P3184-2020-Q4-01,14,AEFES,ANADOLU EFES,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,15,ARCLK,ARCELIK,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,16,ASELS,ASELSAN,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,17,AYGAZ,AYGAZ,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,18,BAGFS,BAGFAS,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,19,BIMAS,BIM MAGAZALAR,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,20,BIZIM,BIZIM MAGAZALARI,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,21,BRSAN,BORUSAN MANNESMANN,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,22,BRISA,BRISA,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,23,BUCIM,BURSA CIMENTO,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,24,CCOLA,COCA COLA ICECEK,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,25,CLEBI,CELEBI,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,26,CEMTS,CEMTAS,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,27,CIMSA,CIMSA,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,28,DEVA,DEVA HOLDING,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,29,DOCO,DO-CO,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,30,DOHOL,DOGAN HOLDING,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,31,DOAS,DOGUS OTOMOTIV,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,32,ECILC,ECZACIBASI ILAC,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,33,EGEEN,EGE ENDUSTRI,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,34,EKGYO,EMLAK KONUT GMYO,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,35,ENJSA,ENERJISA ENERJI,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,36,ENKAI,ENKA INSAAT,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,37,EREGL,EREGLI DEMIR CELIK,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,38,FROTO,FORD OTOSAN,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,39,GARAN,GARANTI BANKASI,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,40,GOODY,GOOD-YEAR,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,41,GOZDE,GOZDE GIRISIM,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,42,GSDHO,GSD HOLDING,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,43,GUBRF,GUBRE FABRIK.,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,44,HLGYO,HALK GMYO,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,45,HEKTS,HEKTAS,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,46,INDES,INDEKS BILGISAYAR,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,47,IPEKE,IPEK DOGAL ENERJI,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,48,ISCTR,IS BANKASI (C),XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,49,ISDMR,ISKENDERUN DEMIR CELIK,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,50,ISFIN,IS FIN.KIR.,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,51,ISGYO,IS GMYO,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,52,ISMEN,IS Y. MEN. DEG.,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,53,KRDMD,KARDEMIR (D),XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,54,KAREL,KAREL ELEKTRONIK,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,55,KARTN,KARTONSAN,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,56,KERVT,KEREVITAS GIDA,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,57,KCHOL,KOC HOLDING,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,58,KORDS,KORDSA TEKNIK TEKSTIL,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,59,KOZAL,KOZA ALTIN,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,60,KOZAA,KOZA MADENCILIK,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
