surface_id,operator,q,metric_scope,window_condition_id,split,year,model,kind,n,split_count,observed_ic,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_value_two_sided,observed_null_percentile,bonferroni_adjusted_p_value,significant_fwer_0_05,delta_observed_ic,delta_n,delta_split_count,significance_verdict_changed
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,linear_regression,ml,80,,-0.056705501785429498,-0.283767542967721,0.18008336504974579,0.62353764623537644,31.100000000000001,,,-0.012541316021167745,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,linear_regression,ml,80,,0.075503984997655885,-0.15346707183936389,0.30332921561273618,0.50004999500049996,74.549999999999997,,,-0.0056493202062822268,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,linear_regression,ml,80,,0.10492264416315049,-0.12973684063807073,0.32346101470859201,0.35056494350564943,82.155000000000001,,,0.0043131739334270891,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,linear_regression,ml,240,3,0.041240375791792294,-0.09215152328052735,0.17180544682992951,0.52424757524247578,73.75,1,False,-0.0046258207646742919,0,0,False
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,random_forest,ml,80,,-0.15754095000530186,-0.36346914890272525,0.068041361651100293,0.16478352164783522,8.1400000000000006,,,-0.010900460047982341,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,random_forest,ml,80,,-0.16980877759772134,-0.36294334481756801,0.042588524221106622,0.13498650134986501,6.46,,,0.0028832799067531334,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,random_forest,ml,80,,-0.13316924519456166,-0.35122147269669812,0.09936185862003645,0.23687631236876314,11.26,,,0.0073496279845576828,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,random_forest,ml,240,3,-0.15350632426586161,-0.27435065137822712,-0.026152859905031588,0.017998200179982,0.92000000000000004,0.107989201079892,False,-0.00022251738555717493,0,0,False
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,ridge,ml,80,,-0.014557303269430227,-0.24095126245048751,0.21788061152851321,0.89601039896010404,45.354999999999997,,,-0.0062354954423002266,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,ridge,ml,80,,0.21462728551336147,-0.012082709517224424,0.42839680433137189,0.050294970502949704,97.5,,,-0.0035161744022503549,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,ridge,ml,80,,0.030004688232536336,-0.20190243389259627,0.25882052503562325,0.79522047795220474,60.640000000000001,,,-0.038138771683075473,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,ridge,ml,240,3,0.076691556825489185,-0.05858114719157434,0.20750185353518324,0.23647635236476353,88.049999999999997,1,False,-0.015963480509208691,0,0,False
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,robust_rank_aggregation,baseline,80,,0.087905845323387105,-0.13331635951773868,0.29240881860612844,0.43885611438856115,78.159999999999997,,,0,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,robust_rank_aggregation,baseline,80,,0.1954290527074114,-0.019752745983541778,0.39087327110713299,0.08089191080891911,96.159999999999997,,,0,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,robust_rank_aggregation,baseline,80,,0.16246344360132983,-0.065789203051559345,0.37835560633061571,0.14628537146285372,92.969999999999999,,,0.062528496119805446,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,robust_rank_aggregation,baseline,240,3,0.14859944721070942,0.021810539259136792,0.26682144717175782,0.016898310168983102,99.159999999999997,,,0.020842832039935144,0,0,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,baseline_equal_weight,baseline,80,,0.097986356950432119,-0.11203257952752298,0.29336938870528023,0.38086191380861911,81.519999999999996,,,0.0031177477211501159,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,baseline_equal_weight,baseline,80,,0.20895452414439755,-0.014805560768922534,0.40901433791115988,0.062993700629937005,97.109999999999999,,,-0.0028363806844819706,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,baseline_equal_weight,baseline,80,,0.15494608532583215,-0.075453080959818938,0.36930630917302876,0.16958304169583041,91.959999999999994,,,0.012587904360056246,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,baseline_equal_weight,baseline,240,3,0.1539623221402206,0.029184039766409858,0.27022956571389001,0.013698630136986301,99.329999999999998,,,0.0042897571322414729,0,0,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,baseline_rank_score,baseline,80,,0.097986356950432119,-0.11203257952752298,0.29336938870528023,0.38086191380861911,81.519999999999996,,,0.0031177477211501159,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,baseline_rank_score,baseline,80,,0.20895452414439755,-0.014805560768922534,0.40901433791115988,0.062993700629937005,97.109999999999999,,,-0.0028363806844819706,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,baseline_rank_score,baseline,80,,0.15494608532583215,-0.075453080959818938,0.36930630917302876,0.16958304169583041,91.959999999999994,,,0.012587904360056246,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,baseline_rank_score,baseline,240,3,0.1539623221402206,0.029184039766409858,0.27022956571389001,0.013698630136986301,99.329999999999998,,,0.0042897571322414729,0,0,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,elasticnet,ml,80,,-0.10464380321213612,-0.32603792801622777,0.1320530557130685,0.35736426357364265,18.16,,,-0.0057901029107073482,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,elasticnet,ml,80,,0.067323019221753405,-0.15277973506012937,0.2930894512083575,0.54234576542345769,72.540000000000006,,,0.0099859353023910025,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,elasticnet,ml,80,,-0.050632911392405063,-0.28687293247200685,0.19365423856875547,0.65613438656134382,33.259999999999998,,,-0.0326769807782466,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,elasticnet,ml,240,3,-0.029317898460929259,-0.15916683886672292,0.10484781733322315,0.65003499650035002,32.729999999999997,1,False,-0.0094937161288543154,0,0,False
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,gradient_boosting,ml,80,,-0.16719899202630989,-0.37143316625093514,0.050477646687640987,0.1382861713828617,7.0599999999999996,,,-0.066781709958254665,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,gradient_boosting,ml,80,,-0.10261489235224698,-0.32049189810660217,0.1235117485820842,0.36656334366563342,18.329999999999998,,,0.013267174469168724,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,gradient_boosting,ml,80,,-0.073699015471167376,-0.29635894847425165,0.15750464338498993,0.51734826517348265,25.609999999999999,,,0.02576183778715424,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,gradient_boosting,ml,240,3,-0.11450429994990807,-0.23735010677839852,0.016670138693008853,0.076292370762923709,3.77,0.45775422457754222,False,-0.0092508992339772195,0,0,False
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,lasso,ml,80,,0.04730537519760096,-0.18511439866164101,0.27457898201191866,0.67843215678432156,66.534999999999997,,,0.036498745878426511,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,lasso,ml,80,,0.12130801687763713,-0.10823168894444037,0.34489230459106573,0.28097190280971901,85.825000000000003,,,-0.01736990154711672,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,lasso,ml,80,,0.036685419596811999,-0.19488952302119961,0.26271300828270155,0.73922607739226076,62.994999999999997,,,-0.082466010314111576,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,lasso,ml,240,3,0.068432937224016707,-0.066434398429510808,0.19763384358361011,0.29157084291570845,85.379999999999995,1,False,-0.021112388660933915,0,0,False
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2023,test_2023,2023,linear_regression,ml,80,,0.063386389759322592,-0.17165746440242249,0.2925934974805921,0.58764123587641237,70.734999999999999,,,0.10755057552358435,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2024,test_2024,2024,linear_regression,ml,80,,0.060314111579934368,-0.16909284720919268,0.28840026312736111,0.59494050594940506,70.040000000000006,,,-0.020839193624003743,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,per_split,trim_to_null__q_0p025__test_2025,test_2025,2025,linear_regression,ml,80,,0.11122831692451945,-0.12208187049339256,0.3272836759577466,0.32526747325267474,83.305000000000007,,,0.010618846694796055,0,,
trim_to_null__q_0p025,trim_to_null,0.025000000000000001,pooled,pooled,pooled,,linear_regression,ml,240,3,0.078309606087925476,-0.059376342515093952,0.20775549574840871,0.22877712228777122,88.430000000000007,1,False,0.03244340953145889,0,0,False
