arm,carrier,ic_injected,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,bonferroni_adjusted_p_value,detected,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ratio_to_injected_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ratio_to_injected_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ratio_to_injected_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ratio_to_injected_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,ratio_to_injected_ic_final_evaluation
secondary,current_ratio,0.20000000000000001,30,43020173,72,7440c0f09ce2ec61a041c7d59645a437f07c76ed406568efcb9f67f48e39e01b,0.0080991900809999993,0.040495950405000002,True,,0.47355798433399998,120,2.36778992167,0.47355798433399998,120,2.36778992167,0.33583349950800001,240,1.679167497538,0.168502923498,240,0.84251461748800005,0.168502923498,240,0.84251461748800005
secondary,current_ratio,0.20000000000000001,31,43020174,73,9810de324f6c08d929fe44b3c73fc8bdeb32be26e25af079062b41440581c11f,0.090090990901000007,0.450454954505,False,,0.16845005547,120,0.84225027735199998,0.16845005547,120,0.84225027735199998,0.096842204444999996,240,0.484211022223,0.110946885962,240,0.55473442980900001,0.110946885962,240,0.55473442980900001
secondary,current_ratio,0.20000000000000001,32,43020175,74,089a0bc06bcebc53c972ef4aa3740ef50e2e3d478919bb87882edc0c0334d0b5,0.077192280771999994,0.38596140386,False,,0.321981387565,120,1.6099069378249999,0.321981387565,120,1.6099069378249999,0.19167986410099999,240,0.95839932050300003,0.113619250676,240,0.568096253381,0.113619250676,240,0.568096253381
secondary,current_ratio,0.20000000000000001,33,43020176,75,4d07e827a849adf8efdae230c336518eec9d99c8f77e171d0283e8d7f11a01c7,0.065293470652999994,0.32646735326499998,False,,0.37286212352999998,120,1.8643106176490001,0.37286212352999998,120,1.8643106176490001,0.277324116116,240,1.3866205805780001,0.11883886916899999,240,0.59419434584599995,0.11883886916899999,240,0.59419434584599995
secondary,current_ratio,0.20000000000000001,34,43020177,76,4c5ad90d5ba64990132faba8ac3c0ccdbfeee83197c44d3be31f74d57b9fd8bf,0.147085291471,0.73542645735400003,False,,0.19291427295300001,120,0.96457136476399996,0.19291427295300001,120,0.96457136476399996,0.101387965072,240,0.50693982535799997,0.095381877742999999,240,0.47690938871400002,0.095381877742999999,240,0.47690938871400002
secondary,current_ratio,0.20000000000000001,35,43020178,77,e3aed78b73434953b8c769576c8e6bddf8ff899b7ae6b4edb484b72903f71e62,0.121487851215,0.60743925607399996,False,,0.18322913572499999,120,0.91614567862399998,0.18322913572499999,120,0.91614567862399998,0.135299993018,240,0.67649996508999999,0.099093523569000003,240,0.49546761784499999,0.099093523569000003,240,0.49546761784499999
secondary,current_ratio,0.20000000000000001,36,43020179,78,a27a37f2016eb36b2c9487c02a33d06d379eb6cbf1d247d9632719d296004a14,0.11398860114000001,0.56994300569900003,False,,0.081739537523000005,120,0.40869768761500003,0.081739537523000005,120,0.40869768761500003,0.074988575084999995,240,0.37494287542299998,0.10145328523,240,0.50726642614799999,0.10145328523,240,0.50726642614799999
secondary,current_ratio,0.20000000000000001,37,43020180,79,3f1c4dc54a33f72ab8c7eceb28a2b77e58b869bc8a094fa810e2957b6d64685c,0.187781221878,0.93890610938899999,False,,0.086462738567,120,0.43231369283600002,0.086462738567,120,0.43231369283600002,0.088545097239000004,240,0.44272548619500002,0.085161586314000004,240,0.42580793156899999,0.085161586314000004,240,0.42580793156899999
secondary,current_ratio,0.20000000000000001,38,43020181,80,a66cedd5c8660d3d2789e6dd13c0c2a208014e8dcdcc9581f1c99abdc69e7c76,0.109189081092,0.54594540545900005,False,,0.21165275346199999,120,1.0582637673119999,0.21165275346199999,120,1.0582637673119999,0.13573292236500001,240,0.678664611827,0.10360987659199999,240,0.518049382961,0.10360987659199999,240,0.518049382961
secondary,current_ratio,0.20000000000000001,39,43020182,81,ef3d149f9c8ffc3da252983b6039665f8519dc6a51b1142cf9f6700a26fc0e0b,0.10298970103000001,0.51494850514900004,False,,0.094564321778999996,120,0.47282160889300001,0.094564321778999996,120,0.47282160889300001,0.078491254290999998,240,0.39245627145500001,0.104977261813,240,0.524886309065,0.104977261813,240,0.524886309065
