ticker,year,target_year,next_year_nominal_try_return_pct,cpi_december_yoy_pct,next_year_real_return_pct,usdtry_start_try_per_usd,usdtry_end_try_per_usd,next_year_usd_return_pct,real_target_status,usd_target_status
TCELL,2022,2023,42.5845147219,64.7700000000,-13.4645173746,18.7029895782,29.5198001862,-9.6621021810,derived,derived
THYAO,2022,2023,55.7291303438,64.7700000000,-5.4869634376,18.7029895782,29.5198001862,-1.3340102754,derived,derived
TOASO,2022,2023,26.1597222222,64.7700000000,-23.4328322982,18.7029895782,29.5198001862,-20.0684301714,derived,derived
TRALT,2022,2023,-33.0246913580,64.7700000000,-59.3522433441,18.7029895782,29.5198001862,-57.5661592685,derived,derived
TRMET,2022,2023,-24.2500000000,64.7700000000,-54.0268252716,18.7029895782,29.5198001862,-52.0067394897,derived,derived
TSKB,2022,2023,43.3260393873,64.7700000000,-13.0144811633,18.7029895782,29.5198001862,-9.1922911389,derived,derived
TTKOM,2022,2023,-7.7971233914,64.7700000000,-44.0414659170,18.7029895782,29.5198001862,-41.5826181270,derived,derived
TUPRS,2022,2023,111.1792014856,64.7700000000,28.1660505466,18.7029895782,29.5198001862,33.7977350661,derived,derived
TURSG,2022,2023,202.6666666667,64.7700000000,83.6903967146,18.7029895782,29.5198001862,91.7618505759,derived,derived
ULKER,2022,2023,77.4004683841,64.7700000000,7.6655145864,18.7029895782,29.5198001862,12.3963946377,derived,derived
ULUSE,2022,2023,-44.1277000000,64.7700000000,-66.0907325363,18.7029895782,29.5198001862,-64.6007412646,derived,derived
VAKBN,2022,2023,7.9899000000,64.7700000000,-34.4602172726,18.7029895782,29.5198001862,-31.5803643144,derived,derived
VESTL,2022,2023,-35.1018000000,64.7700000000,-60.6128542817,18.7029895782,29.5198001862,-58.8821621221,derived,derived
YKBNK,2022,2023,80.4774000000,64.7700000000,9.5329246829,18.7029895782,29.5198001862,14.3458597284,derived,derived
ZOREN,2022,2023,-1.7421000000,64.7700000000,-40.3666322753,18.7029895782,29.5198001862,-37.7463103380,derived,derived
AEFES,2023,2024,40.9495548961,44.3800000000,-2.3759835877,29.5198001862,35.3052482605,17.8522429914,derived,derived
AGESA,2023,2024,166.5029000000,44.3800000000,84.5843607148,29.5198001862,35.3052482605,122.8312430774,derived,derived
AGHOL,2023,2024,57.1332000000,44.3800000000,8.8330793739,29.5198001862,35.3052482605,31.3838846959,derived,derived
AKBNK,2023,2024,85.2980000000,44.3800000000,28.3404903726,29.5198001862,35.3052482605,54.9333372348,derived,derived
AKENR,2023,2024,207.9439000000,44.3800000000,113.2870896246,29.5198001862,35.3052482605,157.4813333555,derived,derived
AKSA,2023,2024,58.7508000000,44.3800000000,9.9534561574,29.5198001862,35.3052482605,32.7364096358,derived,derived
AKSEN,2023,2024,35.5593000000,44.3800000000,-6.1093641779,29.5198001862,35.3052482605,13.3452856599,derived,derived
ALARK,2023,2024,2.3737000000,44.3800000000,-29.0942651337,29.5198001862,35.3052482605,-14.4022116479,derived,derived
ALBRK,2023,2024,68.3246000000,44.3800000000,16.5844299765,29.5198001862,35.3052482605,40.7413572554,derived,derived
ANHYT,2023,2024,187.1058000000,44.3800000000,98.8542734451,29.5198001862,35.3052482605,140.0579592520,derived,derived
ARCLK,2023,2024,10.5058365759,44.3800000000,-23.4618114864,29.5198001862,35.3052482605,-7.6026830045,derived,derived
ASELS,2023,2024,61.4339790692,44.3800000000,11.8118708057,29.5198001862,35.3052482605,34.9798978958,derived,derived
ASTOR,2023,2024,22.4474229051,44.3800000000,-15.1908692997,29.5198001862,35.3052482605,2.3820433382,derived,derived
BERA,2023,2024,30.0523000000,44.3800000000,-9.9236043773,29.5198001862,35.3052482605,8.7407141689,derived,derived
BIMAS,2023,2024,79.1841840103,44.3800000000,24.1059592813,29.5198001862,35.3052482605,49.8213882957,derived,derived
BRSAN,2023,2024,-27.0727580372,44.3800000000,-49.4893739003,29.5198001862,35.3052482605,-39.0232977548,derived,derived
BTCIM,2023,2024,21.2765957447,44.3800000000,-16.0018037507,29.5198001862,35.3052482605,1.4030788632,derived,derived
CANTE,2023,2024,-26.8722466960,44.3800000000,-49.3504963956,29.5198001862,35.3052482605,-38.8556440767,derived,derived
CCOLA,2023,2024,26.7487046632,44.3800000000,-12.2117296972,29.5198001862,35.3052482605,5.9784768517,derived,derived
CEMTS,2023,2024,-6.0206000000,44.3800000000,-34.9082975481,29.5198001862,35.3052482605,-21.4209431655,derived,derived
CIMSA,2023,2024,64.0845070423,44.3800000000,13.6476707593,29.5198001862,35.3052482605,37.1960855734,derived,derived
DEVA,2023,2024,4.0842000000,44.3800000000,-27.9095442582,29.5198001862,35.3052482605,-12.9720101706,derived,derived
