ticker,year,indices,same_year_return_pct,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,current_ratio,leverage_ratio,financial_debt_ratio,net_debt_to_ebitda,revenue_growth_pct,gross_profit_growth_pct,operating_income_growth_pct,ebitda_growth_pct,net_income_growth_pct
THYAO,2020,"BIST GERİ ALIM (XUGRA), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",-13.0344827586207,2158033000000.0,485646000000.0,1672387000000.0,498369000000.0,693301000000.0,966388000000.0,-12723000000.0,530394000000.0,0.9744707235000571,55.22019357442635,37.71744917709785,3.132661197441395,45.97820181991036,83.85474384110476,-1.794588086708604,109.117733844792,36.37131488871179
TOASO,2020,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",45.44899205864385,173524206000.0,120393022000.0,53131184000.0,70790631000.0,42702328000.0,60031247000.0,49602391000.0,33530388000.0,1.700691465795806,65.404684231778,30.92882730147747,3.353841709705303,96.28477451330848,17.85178859832132,-33.18688181887259,-17.69419066688774,22.23247093443918
TRALT,2020,"BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",26.46153846153847,47854309000.0,21578932000.0,26275377000.0,3946410000.0,1137666000.0,42770233000.0,17632522000.0,-18588129000.0,5.467990401402794,10.62407149166024,0.0388784215858179,-3.714426935523127,48.10395141993427,89.7170827705784,-1.794588086708604,103.6006302933842,419.1555028795424
TRMET,2020,"BIST 50 (XU050), BIST 100 (XU100), BIST TÜM (XUTUM), BIST SINAİ (XUSIN)",44.49626865671641,51629500000.0,22047357000.0,29582143000.0,4353759000.0,1152742000.0,24531176000.0,17693598000.0,-18514616000.0,5.063981952147558,10.66541608963868,0.2262563069562943,-3.74835400015265,46.43750886521524,91.33461650327187,-1.794588086708604,95.41235441195089,36.37131488871179
TSKB,2020,"BIST MALİ (XUMAL), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",47.05882352941177,353765203000.0,98596299419.1579,175400085449.7105,77104957907.8421,66344431217.42105,47208439000.0,21491341511.31579,-23263697000.0,1.605486929375312,48.47849622928319,0.0,2.791092340904628,10.87136317449177,7.193859483812521,2.251842936663156,10.33073241836171,-7.192336040138637
TTKOM,2020,"BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",18.01346801346799,426658604000.0,115153435000.0,311505169000.0,75943922000.0,138277583000.0,212437099000.0,39209513000.0,58027889000.0,1.516295602958193,50.20911402972668,29.29029130747355,0.5855366637740594,14.48090871712209,30.06242003116246,47.22144526187354,28.24838947763368,107.6220462765998
TUPRS,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",-15.59348332040342,591973843000.0,236931136000.0,355042707000.0,169748201000.0,52397648000.0,364099258000.0,67182935000.0,-56987761000.0,1.395779952919796,37.5262947217754,8.488463737746601,-0.9180811334325236,-21.7184197533475,-8.77515909545678,-10.89950728784015,-6.471318659694182,23.15142300268113
TURSG,2020,"BIST MALİ (XUMAL), BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",204.7619047619048,181850807021.0,169011052934.0,12839754087.0,124295686504.0,2803105068.0,54752015449.0,44715366430.0,5925580834.0,1.359749945373696,69.89179407783587,10.7319460626569,2.791092340904628,10.87136317449177,7.193859483812521,-1.794588086708604,10.33073241836171,42.26301938949943
ULKER,2020,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",0.0484496124030897,126866763000.0,84906085000.0,41960678000.0,35289768000.0,45701313000.0,43301842000.0,49616317000.0,34020277000.0,2.405968919943027,63.83947937569749,45.20126362804732,1.847318019615186,1.65963754151499,-1.415500825938674,-10.45248460089899,-9.786817409639673,-49.6782395674073
AEFES,2021,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",33.83838383838383,413578419000.0,109123335000.0,304455084000.0,105736063000.0,88838123000.0,108611239000.0,3387272000.0,55384044000.0,1.032035162875319,47.04650365230977,22.48354066076161,1.400527017918382,-19.47576272020117,-22.83046081330746,-24.54185744697499,-20.89268768853682,-47.83191133157794
