year,row_model,column_model,shared_ranked_ticker_count,rank_spearman,status
2024,random_forest,linear_regression,80,0.2635388159,complete
2024,random_forest,random_forest,80,1.0,complete
2024,random_forest,ridge,80,0.3156605465,complete
2024,random_forest,robust_rank_aggregation,80,-0.2889834661,complete
2024,ridge,baseline_equal_weight,80,0.1356305673,complete
2024,ridge,baseline_rank_score,80,0.1356305673,complete
2024,ridge,elasticnet,80,0.685302391,complete
2024,ridge,gradient_boosting,80,0.5866771371,complete
2024,ridge,lasso,80,0.9232770745,complete
2024,ridge,linear_regression,80,0.8595405532,complete
2024,ridge,random_forest,80,0.3156605465,complete
2024,ridge,ridge,80,1.0,complete
2024,ridge,robust_rank_aggregation,80,0.0953229531,complete
2024,robust_rank_aggregation,baseline_equal_weight,80,0.9487042988,complete
2024,robust_rank_aggregation,baseline_rank_score,80,0.9487042988,complete
2024,robust_rank_aggregation,elasticnet,80,-0.3563444203,complete
2024,robust_rank_aggregation,gradient_boosting,80,-0.0181127568,complete
2024,robust_rank_aggregation,lasso,80,0.2041043676,complete
2024,robust_rank_aggregation,linear_regression,80,0.2178676374,complete
2024,robust_rank_aggregation,random_forest,80,-0.2889834661,complete
2024,robust_rank_aggregation,ridge,80,0.0953229531,complete
2024,robust_rank_aggregation,robust_rank_aggregation,80,1.0,complete
2025,baseline_equal_weight,baseline_equal_weight,80,1.0,complete
2025,baseline_equal_weight,baseline_rank_score,80,1.0,complete
2025,baseline_equal_weight,elasticnet,80,-0.2808954524,complete
2025,baseline_equal_weight,gradient_boosting,80,-0.2161509611,complete
2025,baseline_equal_weight,lasso,80,0.0127285513,complete
2025,baseline_equal_weight,linear_regression,80,-0.0582981716,complete
2025,baseline_equal_weight,random_forest,80,-0.3821869561,complete
2025,baseline_equal_weight,ridge,80,0.0267229255,complete
2025,baseline_equal_weight,robust_rank_aggregation,80,0.9730353818,complete
2025,baseline_rank_score,baseline_equal_weight,80,1.0,complete
2025,baseline_rank_score,baseline_rank_score,80,1.0,complete
2025,baseline_rank_score,elasticnet,80,-0.2808954524,complete
2025,baseline_rank_score,gradient_boosting,80,-0.2161509611,complete
2025,baseline_rank_score,lasso,80,0.0127285513,complete
2025,baseline_rank_score,linear_regression,80,-0.0582981716,complete
2025,baseline_rank_score,random_forest,80,-0.3821869561,complete
2025,baseline_rank_score,ridge,80,0.0267229255,complete
2025,baseline_rank_score,robust_rank_aggregation,80,0.9730353818,complete
2025,elasticnet,baseline_equal_weight,80,-0.2808954524,complete
2025,elasticnet,baseline_rank_score,80,-0.2808954524,complete
2025,elasticnet,elasticnet,80,1.0,complete
2025,elasticnet,gradient_boosting,80,0.4214486639,complete
2025,elasticnet,lasso,80,0.5789498359,complete
2025,elasticnet,linear_regression,80,0.2647210502,complete
2025,elasticnet,random_forest,80,0.3154964574,complete
2025,elasticnet,ridge,80,0.7355133615,complete
2025,elasticnet,robust_rank_aggregation,80,-0.2573037728,complete
2025,gradient_boosting,baseline_equal_weight,80,-0.2161509611,complete
2025,gradient_boosting,baseline_rank_score,80,-0.2161509611,complete
2025,gradient_boosting,elasticnet,80,0.4214486639,complete
2025,gradient_boosting,gradient_boosting,80,1.0,complete
2025,gradient_boosting,lasso,80,0.1528598218,complete
2025,gradient_boosting,linear_regression,80,0.0902484763,complete
2025,gradient_boosting,random_forest,80,0.8131552576,complete
2025,gradient_boosting,ridge,80,0.2379043601,complete
2025,gradient_boosting,robust_rank_aggregation,80,-0.225656534,complete
2025,lasso,baseline_equal_weight,80,0.0127285513,complete
2025,lasso,baseline_rank_score,80,0.0127285513,complete
2025,lasso,elasticnet,80,0.5789498359,complete
2025,lasso,gradient_boosting,80,0.1528598218,complete
2025,lasso,lasso,80,1.0,complete
2025,lasso,linear_regression,80,0.8622128458,complete
2025,lasso,random_forest,80,0.0106423502,complete
2025,lasso,ridge,80,0.9420534459,complete
2025,lasso,robust_rank_aggregation,80,0.0508465637,complete
2025,linear_regression,baseline_equal_weight,80,-0.0582981716,complete
2025,linear_regression,baseline_rank_score,80,-0.0582981716,complete
2025,linear_regression,elasticnet,80,0.2647210502,complete
2025,linear_regression,gradient_boosting,80,0.0902484763,complete
2025,linear_regression,lasso,80,0.8622128458,complete
2025,linear_regression,linear_regression,80,1.0,complete
2025,linear_regression,random_forest,80,0.0189640117,complete
2025,linear_regression,ridge,80,0.6976558837,complete
2025,linear_regression,robust_rank_aggregation,80,-0.0177810597,complete
2025,random_forest,baseline_equal_weight,80,-0.3821869561,complete
2025,random_forest,baseline_rank_score,80,-0.3821869561,complete
2025,random_forest,elasticnet,80,0.3154964574,complete
2025,random_forest,gradient_boosting,80,0.8131552576,complete
2025,random_forest,lasso,80,0.0106423502,complete
2025,random_forest,linear_regression,80,0.0189640117,complete
2025,random_forest,random_forest,80,1.0,complete
2025,random_forest,ridge,80,0.0976330147,complete
2025,random_forest,robust_rank_aggregation,80,-0.3655277505,complete
2025,ridge,baseline_equal_weight,80,0.0267229255,complete
2025,ridge,baseline_rank_score,80,0.0267229255,complete
2025,ridge,elasticnet,80,0.7355133615,complete
2025,ridge,gradient_boosting,80,0.2379043601,complete
2025,ridge,lasso,80,0.9420534459,complete
2025,ridge,linear_regression,80,0.6976558837,complete
2025,ridge,random_forest,80,0.0976330147,complete
2025,ridge,ridge,80,1.0,complete
2025,ridge,robust_rank_aggregation,80,0.0705850638,complete
2025,robust_rank_aggregation,baseline_equal_weight,80,0.9730353818,complete
2025,robust_rank_aggregation,baseline_rank_score,80,0.9730353818,complete
2025,robust_rank_aggregation,elasticnet,80,-0.2573037728,complete
2025,robust_rank_aggregation,gradient_boosting,80,-0.225656534,complete
2025,robust_rank_aggregation,lasso,80,0.0508465637,complete
2025,robust_rank_aggregation,linear_regression,80,-0.0177810597,complete
2025,robust_rank_aggregation,random_forest,80,-0.3655277505,complete
2025,robust_rank_aggregation,ridge,80,0.0705850638,complete
2025,robust_rank_aggregation,robust_rank_aggregation,80,1.0,complete
