ticker,year,revenue,gross_profit,operating_income,ebitda,net_income,gross_profit_margin,ebitda_margin,net_profit_margin,roe,roa
KONTR,2021,611807669.0,165359356.0,168580609.0,175482319,130667738,27.02799660394581,28.68259551025667,21.35764957205857,45.59591095966259,13.89452701960313
KRDMD,2021,66718974139.0,5185707438.0,1223249120.0,6833798117,-1679514697,7.772462788765722,10.24266066016348,-2.517296943896286,-2.210207121736284,-1.433425974012343
KUYAS,2021,71874337.0,25566729.0,17207583.0,17267265,127295405,35.57142934062821,24.02424247753409,177.1082841431984,44.51848562901028,29.54530725668641
MAVI,2021,4619319000.0,2371663000.0,698640000.0,1056689000,400441000,50.9920748532801,22.87542817458591,8.668831920895698,35.93000646925132,9.778053106680238
MGROS,2021,36272243000.0,8754503000.0,859118000.0,1766303000,358881000,24.31140376010957,4.869572030602023,1.566815086482881,66.94741672636103,1.982732354253308
MIATK,2021,164195110.0,60609535.0,53997665.0,59767781,54155781,36.91311817995067,36.40046344863742,32.98257847021144,22.05986819725361,18.01143034017555
OYAKC,2021,4680981940.0,1143486385.0,843846504.0,1038608123,725165282,24.42834430162318,22.18782589449598,15.50858517114991,24.35139263270625,14.87325040988632
PASEU,2021,2452511274.0,304094758.0,139948218.0,90027954,1099516599,12.39932151276219,3.67084771248232,44.83227500955415,37.42388743971068,23.5173588407094
PETKM,2021,28715657000.0,6417248000.0,6472909000.0,7012721000,5451706000,22.3475576407672,24.42124517645548,18.98513413779807,42.85149474262721,17.91664930336232
PGSUS,2021,10664406707.0,117538170.0,-611875719.0,2204425810,-1972478349,1.102153858431236,20.670871531494,-18.49590327144301,-28.99256527999032,-3.728932272000617
SASA,2021,14644953000.0,3702517000.0,2540013000.0,2783427000,697435000,25.28186331495909,19.00604938779933,4.762289097138106,16.75468400123287,3.14242533047991
SISE,2021,32057875000.0,11180296000.0,6444960000.0,8506214000,9133285000,34.87534966057482,26.53392965067086,28.48998880930192,23.16218442635288,10.30001845780594
TAVHL,2021,5459329000.0,2210255000.0,602509000.0,1404023000,467689000,40.48583626302793,25.71786752547795,8.56678540531263,2.233768537710422,0.7098587650598988
TCELL,2021,34906646000.0,10690568000.0,14402681000.0,21654756000,5031098000,30.62616786499625,62.03619792059082,14.41300891526502,22.29896474274805,7.117869092699321
THYAO,2021,97378000.0,22145000.0,13547000.0,29020000,8213000,22.74127626363244,29.80139251165561,8.434143235638441,9.061120917917034,2.321971795944678
TOASO,2021,29684305000.0,5828463000.0,4095719000.0,5294839000,3281316000,19.63483059482107,17.83716681256307,11.05404354253873,57.13203227849192,13.97890483506374
TRALT,2021,4002353000.0,2498281000.0,1953407000.0,2172688000,3004002000,62.42030625484559,54.28526669186851,75.05589836778515,28.42630150312013,24.82008343310108
TRMET,2021,4149686000.0,2510962000.0,1995840000.0,2235474000,1259267000,60.5096867570221,53.87091939004542,30.34607919731758,26.07117059166111,10.25331055122047
TSKB,2021,158447060900.7895,29236805594.78947,3568257000.0,18955421095,2869690000,21.48247707392389,15.98183165495174,-0.2990060422181947,26.736070365376,3.584559479409417
TTKOM,2021,34272934000.0,14868493000.0,8111012000.0,14280337000,5761454000,43.38260914574749,40.91261295738779,16.81050708993867,40.4315285211746,9.87604999757018
TUPRS,2021,150971584000.0,15450643000.0,464591000.0,1252061000,3319134000,9.782823895353404,0.829335539064093,2.198515715381247,18.90467790725292,3.237074138225249
TURSG,2021,158447060900.7895,29236805594.78947,10267860592.31579,18955421095,1086276248,21.48247707392389,15.98183165495174,-0.2990060422181947,49.3881403713351,7.550139842111248
ULKER,2021,12537080000.0,3612415000.0,2429990000.0,2659999000,-464332000,28.90454611423886,21.21705373180996,-3.703669434988051,-15.54658397154867,-1.769313499945225
AEFES,2022,90504179000.0,32991518000.0,12634392000.0,16739819000,3429068000,36.45303273785844,18.49618347457745,3.67314389276124,13.39691055162961,2.048200044157177
ARCLK,2022,133915508000.0,39492843000.0,9090197000.0,12400840000,4324672000,29.80078632593055,9.26019710876204,3.229403423537773,17.33507571072287,3.270254403045286
ASELS,2022,35281677000.0,11783455000.0,12089992000.0,12678926000,11915661000,33.39822820780316,35.93629067008351,33.77294395615039,30.06197848262009,15.66946230398856
ASTOR,2022,7392433448.0,2485518746.0,2192529533.0,2272160614,1827009411,33.62247037438598,31.46031440264467,24.71458720395098,55.18221005605702,28.46714024894277
BIMAS,2022,147715566000.0,26773659000.0,9515551000.0,12108391000,8156913000,18.12514396756263,8.19709887582193,5.522040243206326,32.36745006889614,12.61031846719596
BRSAN,2022,22204754000.0,3127747000.0,2445825000.0,3006956000,1349732000,14.08593403016309,13.541946918214,6.078572183236076,11.38357460901465,4.890689857535992
BTCIM,2022,5988832000.0,874214000.0,539211000.0,671057000,-447737000,14.59740396791895,11.20513983361029,-7.476199031797854,-26.9378195104665,-6.63412947174053
CANTE,2022,5812540889.0,2076245536.0,1993086483.0,2192614170,2137026469,35.72010202851581,37.72212895997745,36.76578814343029,48.46778344334226,28.14459354518095
CCOLA,2022,53529507000.0,17373739000.0,8006472000.0,9827981000,4331051000,32.45637775068618,17.58139885439455,7.517903430836165,21.4716104628721,7.311765140987912
CIMSA,2022,8582005230.0,1479372373.0,1299287824.0,1456908769,3431573091,17.23807354286593,16.97632115052906,39.98567932590272,60.04491814693622,29.58614576928242
DOAS,2022,46781376000.0,10526120000.0,7924779000.0,8222391000,7824186000,22.50066351190696,17.57620596709254,16.72500184688881,67.04885203422529,37.86168811498376
DSTKF,2022,7014794000.0,341344000.0,10267860592.31579,3169731000,282192000,45.18637325629234,45.18637325629234,53.68340110914163,44.82459892971745,6.041648736034982
ENKAI,2022,61804006000.0,14297249000.0,12248080000.0,13759557000,1961307000,23.68601908721001,21.68823759350582,3.173430214216212,1.620798285716703,1.222444227778324
EREGL,2022,127782881000.0,25538796000.0,23569988000.0,27063819000,18005034000,19.98608561658584,21.17953421319402,14.09033343050076,15.56919714224964,10.29484877215906
FROTO,2022,171796902000.0,23941244000.0,19140343000.0,21035291000,18613943000,13.93578331232073,12.24427842127211,10.83485370417215,86.97220665526783,19.37897715188277
GUBRF,2022,25286749983.0,3823473232.0,1123634065.0,1667813601,757352143,15.12046124776999,6.595602843865868,2.995055289861921,13.07839870780101,3.63109255876827
HEKTS,2022,5237435134.0,2100689394.0,1418947015.0,1518461638,802289709,40.10912479589289,28.99246671605652,15.31837031816879,23.04627250247895,6.562363850086864
KONTR,2022,1791154285.0,482265053.0,498575829.0,513660899,469060654,26.92481920953001,28.67764677234379,26.18761867294977,36.68164604031426,10.71682386391393
