ticker,year,market_cap,enterprise_value,pe_ratio,pb_ratio,ps_ratio,ev_ebitda,gross_margin,ebitda_margin,net_margin,roe,roic,roa,working_capital,net_debt,net_debt_to_ebitda,current_ratio,leverage_ratio,financial_debt_ratio,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,total_equity,revenue,gross_profit,operating_income,ebitda,net_income
TOASO,2023,147250000000.0,180780388000.0,17.62642817460949,2.452889242830488,0.5441177181438587,18.08236771883189,6.208464046865368,3.009106587171032,2.514389426737307,13.73057641616031,1.918507156043926,5.69262721520801,49602391000.0,33530388000.0,3.353841709705303,1.700691465795806,65.404684231778,30.92882730147747,173524206000,120393022000.0,53131184000.0,70790631000.0,42702328000.0,60031247000.0,332244994000.0,20627311000.0,3605149000.0,9997606000,8353933000
TRALT,2023,132519450000.0,113931321000.0,32.28776529338327,3.09840374262165,6.727499114712008,22.76665755451405,43.78628211933192,29.54978831918221,24.23550945792268,10.07475150417127,5.542418128889739,9.092590454967034,17632522000.0,-18588129000.0,-3.714426935523127,5.467990401402794,10.62407149166024,0.0388784215858179,47854309000,21578932000.0,26275377000.0,3946410000.0,1137666000.0,42770233000.0,16935167000.0,7415280000.0,3865184000.0,5004306000,4104324000
TRMET,2023,46103904000.0,27589288000.0,23.62329315663991,1.879400482064129,1.558236247927828,5.585555651608627,41.20480016925853,27.89760491382912,11.02275292608907,8.290058886323854,7.353972507963942,3.978949679114281,17693598000.0,-18514616000.0,-3.74835400015265,5.063981952147558,10.66541608963868,0.2262563069562943,51629500000,22047357000.0,29582143000.0,4353759000.0,1152742000.0,24531176000.0,17705459000.0,7295499000.0,3632144000.0,4939399000,1951629000
TSKB,2023,32480000000.0,9216303000.0,2.925777141537352,0.6880125818182634,7.197742444903611,57.2530112963621,21.48247707392389,15.98183165495174,-0.2990060422181947,26.736070365376,-8.921998111430284,3.584559479409417,21491341511.31579,-23263697000.0,2.791092340904628,1.605486929375312,48.47849622928319,0.0,353765203000,98596299419.1579,175400085449.7105,77104957907.8421,66344431217.42105,47208439000.0,158447060900.7895,29236805594.78947,3568257000.0,18955421095,2869690000
TTKOM,2023,217525000000.0,275552889000.0,9.465620726273874,1.023950152887373,1.137573609539943,2.780496104525941,41.78019787529404,40.91261295738779,9.487124896878928,11.38609016358772,9.974975218396336,5.889392574205804,39209513000.0,58027889000.0,0.5855366637740594,1.516295602958193,50.20911402972668,29.29029130747355,426658604000,115153435000.0,311505169000.0,75943922000.0,138277583000.0,212437099000.0,242228623000.0,101203598000.0,48723669000.0,99102059000,22980532000
TUPRS,2023,522161607058.0,465173846058.0,17.68649427326315,1.434118844202643,0.5602100456556995,7.49401844076827,9.782823895353404,7.475429238445643,3.555484435870324,8.049986147718345,8.29847857851094,4.976975859728014,67182935000.0,-56987761000.0,-0.9180811334325236,1.395779952919796,37.5262947217754,8.488463737746601,591973843000,236931136000.0,355042707000.0,169748201000.0,52397648000.0,364099258000.0,830356131000.0,81232278000.0,41646897000.0,62072685000,29523183000
TURSG,2023,140600000000.0,146525580834.0,6.556694724510757,2.567941998974724,7.197742444903611,57.2530112963621,21.48247707392389,15.98183165495174,-0.2990060422181947,49.3881403713351,6.185865396246006,14.07327464035062,44715366430.0,5925580834.0,2.791092340904628,1.359749945373696,69.89179407783587,10.7319460626569,181850807021,169011052934.0,12839754087.0,124295686504.0,2803105068.0,54752015449.0,158447060900.7895,29236805594.78947,10267860592.31579,18955421095,6451802119
ULKER,2023,45753278434.5,79773555434.5,9.386206288184509,1.056612751820119,0.7128710948578424,4.33174387271811,28.90454611423886,16.45690779059209,4.35596298672295,11.57176271524665,14.17649392405263,3.832098465181642,49616317000.0,34020277000.0,1.847318019615186,2.405968919943027,63.83947937569749,45.20126362804732,126866763000,84906085000.0,41960678000.0,35289768000.0,45701313000.0,43301842000.0,111904601000.0,32345517000.0,16735605000.0,18416037000,4874523000
AEFES,2024,112381578917.4,167765622917.4,12.54698958176842,1.034714086241112,0.6879950657176279,4.242382292880707,37.6981855898891,16.21718690633272,3.67314389276124,8.194206905394882,8.743831638192157,2.048200044157177,-19.47576272020117,-22.83046081330746,-20.89268768853682,-47.83191133157794,,,55384044000,1.400527017918382,,1.032035162875319,47.04650365230977,22.48354066076161,243847131000.0,91925944000.0,25729479000.0,39545145000,8956856000
ARCLK,2024,75613986139.5,245395095139.5,46.89673957668054,1.031365275038929,0.4350806234974587,7.316215204232801,29.80078632593055,5.946729173984706,-1.394607791962152,-10.64656111287514,0.5539358163448908,-1.544846094386245,-8.771631425953212,-5.145859859025417,3.433315660307804,36.37131488871179,,,169781109000,5.061858022676359,,0.9554610569655252,86.05257181976896,44.36478872650538,130271680000.0,38821985000.0,234374000.0,7746904000,-1816779000
