ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin,_bank_warning
CEMTS,2022,yfinance_unofficial,2026-06-10,6477458867.0,1452058768.0,1187825023.0,530953100.0,1194687226.0,4372947349.0,2870494748.0,1502452601.0,589482221.0,115000571.0,3668464557.0,2281012527.0,,14.4734,12.1418,22.4171,8.1969,18.4438,
CEMTS,2023,yfinance_unofficial,2026-06-10,7211044357.0,1290899345.0,901584152.0,119267926.0,914323824.0,6091388365.0,3981123869.0,2110264496.0,564119701.0,242538453.0,5284730211.0,3417004168.0,,2.2568,1.958,17.9017,1.654,12.6795,
CEMTS,2024,yfinance_unofficial,2026-06-10,7556771736.0,1124444839.0,544370895.0,-39040949.0,558963916.0,8314611080.0,4054038876.0,4260572204.0,1011352930.0,525331896.0,6777926254.0,3042685946.0,,-0.576,-0.4695,14.88,-0.5166,7.3969,
CEMTS,2025,yfinance_unofficial,2026-06-10,6271396776.0,1003029102.0,440069751.0,-115959915.0,455411035.0,9057880087.0,5013003413.0,4044876674.0,950353840.0,1582891092.0,6524635155.0,4062649573.0,111661728.0,-1.7773,-1.2802,15.9937,-1.849,7.2617,
DEVA,2022,yfinance_unofficial,2026-06-10,8712735438.0,2884056556.0,110275555.0,851061391.0,448835479.0,20535798937.0,9680783422.0,10855015515.0,6650553737.0,2355069045.0,11530176155.0,3030229685.0,4155222244.0,7.3812,4.1443,33.1016,9.768,5.1515,
DEVA,2023,yfinance_unofficial,2026-06-10,16358568181.0,6852112048.0,1589183601.0,4887825625.0,1862785905.0,32404333087.0,16623572939.0,15780760148.0,9985468231.0,1075224409.0,21343640447.0,6638104708.0,4674102113.0,22.9006,15.0839,41.887,29.8793,11.3872,
DEVA,2024,yfinance_unofficial,2026-06-10,20233967079.0,8079654898.0,2208332739.0,90864990.0,2827911605.0,38913399909.0,16080584808.0,22832815101.0,9999761387.0,1673558154.0,27240080368.0,6080823421.0,6529179913.0,0.3336,0.2335,39.9311,0.4491,13.9761,
DEVA,2025,yfinance_unofficial,2026-06-10,19245645072.0,6304840918.0,9181615.0,-806988481.0,695704039.0,37626482000.0,16625931505.0,21000550495.0,10072808825.0,1233751386.0,26319921789.0,6553122680.0,3084362159.0,-3.0661,-2.1447,32.7598,-4.1931,3.6149,
DOHOL,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
DOHOL,2022,yfinance_unofficial,2026-06-10,29606003000.0,4912373000.0,1101931000.0,232125000.0,1475948000.0,83805566000.0,50649588000.0,33155978000.0,24909607000.0,8186092000.0,41258107000.0,25739981000.0,6887073000.0,0.5626,0.277,16.5925,0.784,4.9853,
DOHOL,2023,yfinance_unofficial,2026-06-10,75706159000.0,13649782000.0,6081740000.0,-210182000.0,6636666000.0,134875359000.0,83683505000.0,51191854000.0,40433632000.0,14605186000.0,69918034000.0,43249873000.0,11550508000.0,-0.3006,-0.1558,18.0299,-0.2776,8.7663,
DOHOL,2024,yfinance_unofficial,2026-06-10,104887460000.0,13406927000.0,132015000.0,5650978000.0,1332091000.0,182814128000.0,108926523000.0,73887605000.0,63921930000.0,21980777000.0,83018793000.0,45004593000.0,4515481000.0,6.8069,3.0911,12.7822,5.3877,1.27,
DOHOL,2025,yfinance_unofficial,2026-06-10,93680389000.0,16979941000.0,3937392000.0,1792287000.0,5189804000.0,184596193000.0,114038312000.0,70557881000.0,72453052000.0,14772372000.0,83723185000.0,41585260000.0,25890013000.0,2.1407,0.9709,18.1254,1.9132,5.5399,
EGEEN,2021,yfinance_unofficial,2026-06-10,1049472767.0,425133997.0,358159904.0,603525201.0,358254842.0,1393524530.0,1059391106.0,334133424.0,252140047.0,22989935.0,1118394548.0,807251059.0,,53.9635,43.3093,40.5093,57.5075,34.1366,
EGEEN,2022,yfinance_unofficial,2026-06-10,4296698147.0,1297478129.0,1010615827.0,626017164.0,1034834136.0,3114757367.0,2237079189.0,877678178.0,430755843.0,935691501.0,1748310023.0,1806323346.0,,35.807,20.0984,30.1971,14.5697,24.0844,
EGEEN,2023,yfinance_unofficial,2026-06-10,3908932466.0,1196420775.0,873749026.0,696243397.0,897238993.0,6264209601.0,3102036184.0,3162173417.0,989198436.0,1240488771.0,4034522394.0,2112837748.0,185015522.0,17.2571,11.1146,30.6074,17.8116,22.9536,
EKGYO,2022,yfinance_unofficial,2026-06-10,21220172000.0,5098391000.0,3564731000.0,905060000.0,3644833000.0,120939658000.0,110688971000.0,10250687000.0,53866415000.0,5529184000.0,61544059000.0,56822556000.0,130165000.0,1.4706,0.7484,24.0262,4.2651,17.1763,
EKGYO,2023,yfinance_unofficial,2026-06-10,41141913000.0,12262863000.0,7175706000.0,-5882442000.0,7350587000.0,175395726000.0,164388932000.0,11006794000.0,89842559000.0,2924627000.0,82628540000.0,74546373000.0,,-7.1191,-3.3538,29.8063,-14.2979,17.8664,
EKGYO,2024,yfinance_unofficial,2026-06-10,41753570000.0,11264862000.0,7151979000.0,17274359000.0,7444489000.0,268202250000.0,247041997000.0,21160253000.0,141434957000.0,1368356000.0,125398937000.0,105607040000.0,6048214000.0,13.7755,6.4408,26.9794,41.3722,17.8296,
EKGYO,2025,yfinance_unofficial,2026-06-10,99829173000.0,27822734000.0,22238835000.0,6002283000.0,22742856000.0,335189944000.0,302689071000.0,32500873000.0,155801289000.0,49679997000.0,129708658000.0,146887782000.0,32612720000.0,4.6275,1.7907,27.8703,6.0126,22.7818,
ENJSA,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
ENJSA,2022,yfinance_unofficial,2026-06-10,163312312000.0,23199685000.0,12036970000.0,20634560000.0,15015394000.0,126123660000.0,36795156000.0,89328504000.0,51501244000.0,15784330000.0,58838086000.0,-14706088000.0,17922510000.0,35.0701,16.3606,14.2057,12.635,9.1943,
ENJSA,2023,yfinance_unofficial,2026-06-10,243515934000.0,36895243000.0,21869906000.0,6522060000.0,26598091000.0,190719169000.0,58741938000.0,131977231000.0,69307578000.0,37997525000.0,83414066000.0,-10565640000.0,42979433000.0,7.8189,3.4197,15.1511,2.6783,10.9225,
ENJSA,2024,yfinance_unofficial,2026-06-10,249460229000.0,55922820000.0,31453938000.0,-6351905000.0,37426681000.0,235281484000.0,67264752000.0,168016732000.0,88455366000.0,49369133000.0,97456985000.0,-21190614000.0,59535529000.0,-6.5176,-2.6997,22.4175,-2.5463,15.0031,
