ticker,year,market_cap,enterprise_value,pe,pb,ev_ebitda,year_end_close,shares_outstanding,source_price,source_shares,source_financials,validation_status,validation_notes
OYAKC,2020,2686814013.9505,-7907436986.0495,7.4956,0.0427,-14.3852,2.155351,1246578406.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
OYAKC,2021,2409289510.0011,-8184961489.9989,3.3224,0.0383,-7.8807,1.932722,1246578406.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
OYAKC,2022,6410538178.9038,-4183712821.0962,1.4246,0.1018,-1.1901,5.142507,1246578406.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
OYAKC,2023,16910769764.6161,6316518764.6161,2.0806,0.2686,0.6992,13.565749,1246578406.0,yahoo_chart_api,manual,modeling_dataset,accepted,
OYAKC,2024,111327454430.6912,,15.5325,,,22.899082,4861655783.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
OYAKC,2025,112012554101.9758,101418303101.9758,12.7828,1.7793,6.832,23.040001,4861655783.0,yahoo_chart_api,manual,modeling_dataset,accepted,
PASEU,2020,,,,,,,168000000.0,,manual,modeling_dataset,rejected,missing_price
PASEU,2021,,,,,,,168000000.0,,manual,modeling_dataset,rejected,missing_price
PASEU,2022,,,,,,,168000000.0,,manual,modeling_dataset,rejected,missing_price
PASEU,2023,,,,,,,168000000.0,,manual,modeling_dataset,rejected,missing_price
PASEU,2024,19864319328.0,,96.2968,,,29.559999,672000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
PASEU,2025,91056000000.0,91743961900.0,82.8146,25.9476,,135.5,672000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,ev_ebitda_absurd
PETKM,2020,12672000000.0,59199779000.0,11.6505,0.1981,31.1219,5.0,2534400000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
PETKM,2021,19768320000.0,66296099000.0,3.6261,0.3091,9.4537,7.8,2534400000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
PETKM,2022,50586621465.6,97114400465.6,7.6876,0.7909,22.5197,19.959999,2534400000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
PETKM,2023,46151421465.6,92679200465.6,6.2451,0.7215,,18.209999,2534400000.0,yahoo_chart_api,manual,modeling_dataset,accepted,ev_ebitda_non_positive_ebitda
PETKM,2024,45872640000.0,,,,,18.1,2534400000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;pb_2024_suspect;ev_2024_suspect
PETKM,2025,41133312000.0,87661091000.0,,0.6431,,16.23,2534400000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;ev_ebitda_non_positive_ebitda
PGSUS,2020,1564551872.7148,162922642684.7148,,0.0134,198.0871,15.293806,102299707.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
PGSUS,2021,1778042563.449,163136133375.449,,0.0152,74.0039,17.38072,102299707.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
