model,ticker,year,full_pooled_ic,year_full_ic,year_loo_ic,loo_pooled_ic,delta_pooled_ic,abs_delta_pooled_ic,sign,status
elasticnet,TAVHL,2024,-0.0198241823,0.0573370839,0.0374634859,-0.026448715,-0.0066245327,0.0066245327,negative,complete
elasticnet,TBORG,2024,-0.0198241823,0.0573370839,0.0632667965,-0.0178476115,0.0019765709,0.0019765709,positive,complete
elasticnet,TCELL,2024,-0.0198241823,0.0573370839,0.0775073028,-0.013100776,0.0067234063,0.0067234063,positive,complete
elasticnet,THYAO,2024,-0.0198241823,0.0573370839,0.0707400195,-0.0153565371,0.0044676452,0.0044676452,positive,complete
elasticnet,TOASO,2024,-0.0198241823,0.0573370839,0.0493184031,-0.0224970759,-0.0026728936,0.0026728936,negative,complete
elasticnet,TRALT,2024,-0.0198241823,0.0573370839,0.0468597858,-0.023316615,-0.0034924327,0.0034924327,negative,complete
elasticnet,TRMET,2024,-0.0198241823,0.0573370839,0.0616358325,-0.0183912661,0.0014329162,0.0014329162,positive,complete
elasticnet,TSKB,2024,-0.0198241823,0.0573370839,0.0430866602,-0.0245743236,-0.0047501412,0.0047501412,negative,complete
elasticnet,TTKOM,2024,-0.0198241823,0.0573370839,0.0608081792,-0.0186671506,0.0011570317,0.0011570317,positive,complete
elasticnet,TUPRS,2024,-0.0198241823,0.0573370839,0.0421129503,-0.0248988935,-0.0050747112,0.0050747112,negative,complete
elasticnet,TURSG,2024,-0.0198241823,0.0573370839,0.0408714703,-0.0253127202,-0.0054885379,0.0054885379,negative,complete
elasticnet,ULKER,2024,-0.0198241823,0.0573370839,0.0559639727,-0.0202818861,-0.0004577037,0.0004577037,negative,complete
elasticnet,ULUSE,2024,-0.0198241823,0.0573370839,0.0552823759,-0.020509085,-0.0006849027,0.0006849027,negative,complete
elasticnet,VAKBN,2024,-0.0198241823,0.0573370839,0.0488315482,-0.0226593609,-0.0028351786,0.0028351786,negative,complete
elasticnet,VESTL,2024,-0.0198241823,0.0573370839,0.0622200584,-0.0181965242,0.0016276582,0.0016276582,positive,complete
elasticnet,YKBNK,2024,-0.0198241823,0.0573370839,0.0532862707,-0.0211744534,-0.0013502711,0.0013502711,negative,complete
elasticnet,ZOREN,2024,-0.0198241823,0.0573370839,0.0625851996,-0.0180748104,0.0017493719,0.0017493719,positive,complete
elasticnet,AEFES,2025,-0.0198241823,-0.0179559306,-0.0052336904,-0.0155834356,0.0042407468,0.0042407468,positive,complete
